street_name,city_district
Krásnohorská,Pereš
Krátka,Barca
Krčméryho,Luník IX
Kremnická,Západ
Krivá,Juh
Križinova,Krásna
Križovatka Furmanec,Lorinčík
Krmanova,Staré Mesto
Krompašská,Pereš
Krosnianska,Dargovských hrdinov
Krupinská,Sever
Ku Bangortu,Myslava
Ku Gardu,Poľov
Ku hájovni,Myslava
Ku mlynu,Šaca
Ku potoku,Myslava
Ku štrkovisku,Krásna
Kubíková,Barca
Kukučínova,Juh
Kukuričná,Vyšné Opátske
Kupeckého,Juh
Kurská,Dargovských hrdinov
Kustrova,Sever
Kuzmányho,Staré Mesto
Kvetná,Šaca
Kysucká,Západ
Laborecká,Západ
Lackova,Krásna
Ladožská,Nad jazerom
Ľanová,Barca
Lechkého ulica,Sídlisko KVP
Lermontovova,Staré Mesto
Lesná,Sever
Lesnícka,Západ
Letecká,Sever
Letná,Sever
Letná,Staré Mesto
Levanduľová,Šebastovce
Levická,Západ
Levočská,Nad jazerom
Lidické námestie,Dargovských hrdinov
Liesková,Vyšné Opátske
Lichardova,Juh
Limbová ulica,Lorinčík
Lipová,Juh
Liptovská,Sever
Löfflerova,Staré Mesto
Lomená,Staré Mesto
Lomnická,Sever
Lomonosovova,Juh
Londýnska,Juh
Lorinčícka ulica,Lorinčík
Lorinčík,Lorinčík
Lovecká,Kavečany
Lubina,Nad jazerom
Ľubovnianska ulica,Západ
Lučenecká,Západ
Lúčna,Šaca
Lúčnicová ulica,Lorinčík
Ludmanská,Juh
Ľudová,Západ
Ludvíkov dvor,Šaca
Lupkovská,Dargovských hrdinov
Lyžiarska,Kavečany
Macákova,Lorinčík
Maďarská,Sídlisko Ťahanovce
Madridská,Ťahanovce
Magdalénska,Sever
Magnezitárska,Sídlisko Ťahanovce
Magnezitárska,Ťahanovce
Magurská,Staré Mesto
Májová,Sever
Maková ulica,Lorinčík
Malá,Staré Mesto
Malinová,Sever
Maloidanská,Šaca
Mánesova,Sever
Markušova,Západ
Maršala Koneva,Dargovských hrdinov
Martinská,Západ
Masarykova,Staré Mesto
Maša,Myslava
Matičná,Barca
Matuškova,Západ
Maurerova,Dargovských hrdinov
Mäsiarska,Staré Mesto
Medená,Barca
Medická,Západ
Medzevská,Pereš
Medzi mostami,Džungľa
Mengusovská,Sever
Mestský park,Staré Mesto
Meškova,Krásna
Meteorová,Nad jazerom
Mierová,Šaca
Michalovská,Západ
Mikovíniho,Západ
Milosrdenstva,Juh
Minská,Krásna
Miškovecká,Juh
Mládežnícka,Šaca
Mliečna,Košická Nová Ves
Mlynárska,Juh
Mlynská,Staré Mesto
Močiarna,Barca
Modranská,Krásna
Mojmírova,Staré Mesto
Moldavská cesta,Juh
Moldavská cesta,Západ
Mongolská,Juh
Moravská,Sever
Mosadzná,Barca
Moskovská trieda,Sídlisko KVP
Moskovská trieda,Západ
Moyzesova,Staré Mesto
Mozartova,Krásna
Mudroňova,Juh
Muránska,Staré Mesto
Murgašova,Staré Mesto
Muškátová,Západ
Myslavská,Myslava
Na banisegu,Krásna
Na Brehu,Krásna
Na Demetri,Sídlisko Ťahanovce
Na Demetri,Ťahanovce
Na doline,Košická Nová Ves
Na hájiku,Ťahanovce
Na hore,Dargovských hrdinov
Na Horke,Kavečany
Na Kalvárii,Sever
Na Kope,Myslava
Na Kope I,Myslava
Na Kope II,Myslava
Na Kope III,Myslava
Na Kope IV,Myslava
Na Kope IX,Myslava
Na Kope V,Myslava
Na Kope VI,Myslava
Na Kope VII,Myslava
Na Kope VIII,Myslava
Na Kope X,Myslava
Na močidlách,Krásna
Na pažiti,Krásna
Na Rožku,Kavečany
Na sihoti,Ťahanovce
Na stráni,Sever
Na šajbe,Sever
Na záhumní,Šaca
Nábrežná,Krásna
Nad Belogradom,Krásna
Nad záhradami,Poľov
Námestie Jána Mathého,Sever
Námestie Košických mučeníkov,Nad jazerom
Námestie kozmonautov,Nad jazerom
Námestie L. Novomeského,Staré Mesto
Námestie Maratónu mieru,Staré Mesto
Námestie mladých poľnohospodárov,Barca
Námestie oceliarov,Šaca
Námestie osloboditeľov,Juh
Námestie osloboditeľov,Staré Mesto
Námestie Sándora Máraiho,Staré Mesto
Námestie slobody,Staré Mesto
Námestie sv. Cyrila a Metoda,Krásna
Námestie sv. Vavrinca,Lorinčík
Napájadlá,Nad jazerom
Narcisová,Západ
Národná trieda,Sever
Národné námestie,Sever
Národné námestie,Staré Mesto
Němcovej,Sever
Nemessányiho,Šaca
Nerudova,Juh
Nešporova,Západ
Nevädzová,Vyšné Opátske
Niklová,Barca
Nitrianska,Sever
Nivky,Kavečany
Nižná úvrať,Vyšné Opátske
Nižné Chmeľníky,Myslava
Nižné Kapustníky,Juh
Nižné Kapustníky,Juh
Nižný Heringeš,Vyšné Opátske
Nová,Krásna
Novobanská,Západ
Obchodná,Západ
Oblá,Kavečany
Obrancov mieru,Sever
Odborárska,Sever
Ochotnícka ulica,Lorinčík
Olivová,Sever
Omská,Juh
Ondavská,Západ
Opálová,Západ
Opatovská cesta,Vyšné Opátske
Opátska,Krásna
Oravská,Sever
Orechová,Dargovských hrdinov
Orgovánová,Západ
Orlia,Staré Mesto
Orná,Krásna
Ortoviská,Krásna
Ortvaňová,Košická Nová Ves
Osiková,Vyšné Opátske
Ostravská,Juh
Ostrovského,Juh
Oštepová,Juh
Ovocná,Barca
Ovručská,Dargovských hrdinov
Ovsená,Vyšné Opátske
Pajorova,Staré Mesto
Palackého,Juh
Palackého,Staré Mesto
Palárikova,Juh
Palkovičova,Sever
Palmová,Sever
Panelová,Juh
Papradia,Šebastovce
Parčík Jozefa Psotku,Juh
Park Angelinum,Staré Mesto
Park duklianskych obetí,Sever
Park mládeže,Sever
Park obrancov mieru,Sever
Park Teodora Münstera,Juh
Partizánska,Juh
Pasienková,Krásna
Pasteurova,Juh
Pasteurovo námestie,Juh
Paulínyho,Juh
Pažitná,Poľov
Pekinská,Sídlisko Ťahanovce
Pekná,Juh
Perešská,Pereš
Perlová,Juh
Petzvalova,Západ
Pezinská,Krásna
Pieninská,Lorinčík
Piesočná,Krásna
Piešťanská,Západ
Píniová,Vyšné Opátske
Platanová,Juh
Platinová,Barca
Plávková ulica,Lorinčík
Plťová,Džungľa
Plzenská,Západ
Pod Furčou,Dargovských hrdinov
Pod Gruntom,Myslava
Pod horou,Myslava
Pod hrabinou,Myslava
Pod hrebienkom,Vyšné Opátske
Pod kaštieľom,Sever
Pod Stavencom,Šaca
Pod šiancom,Sever
Pod vinicami,Vyšné Opátske
Pod Vitalinou,Kavečany
Pod vlekom,Sever
Podbeľová,Šebastovce
Podjavorinskej,Luník IX
Podkamenná,Kavečany
Podnikateľská,Barca
Podtatranského,Staré Mesto
Pokojná,Barca
Polárna,Nad jazerom
Polesná,Krásna
Polianska,Sever
Pollova,Krásna
Poľná,Košická Nová Ves
Poloninská,Lorinčík
Poľovnícka,Západ
Poľovská,Poľov
Poľská,Juh
Poludníková,Nad jazerom
Poničanova,Barca
Popradská,Západ
Popradská,Západ
Postupimská,Dargovských hrdinov
Poštová,Staré Mesto
Potočná,Sever
Považská,Západ
Povrazová,Myslava
Povstania českého ľudu,Dargovských hrdinov
Požiarnická,Juh
Prasličková,Šebastovce
Prašná,Krásna
Pražská,Západ
Prešovská cesta,Staré Mesto
Prešovská cesta,Dargovských hrdinov
Prešovská cesta,Sídlisko Ťahanovce
Prešovská cesta,Vyšné Opátske
Pri bitúnku,Juh
Pri hati,Sídlisko Ťahanovce
Pri Hornáde,Krásna
Pri Hrušove,Ťahanovce
Pri jazdiarni,Staré Mesto
Pri Krásnej,Nad jazerom
Pri Miklušovej väznici,Staré Mesto
Pri nemocnici,Juh
Pri plynárni,Staré Mesto
Pri pošte,Barca
Pri prachárni,Juh
Pri salaši,Barca
Pri sídlisku,Krásna
Pri Teleku,Krásna
Pri vagovni,Barca
Pri železničnej stanici,Barca
Pribinova,Staré Mesto
Priemyselná,Staré Mesto
Prievidzská,Západ
Príkra,Vyšné Opátske
Prof. Jána Kňazovického,Staré Mesto
Protifašistických bojovníkov,Staré Mesto
Prúdová,Džungľa
Prvosienková,Vyšné Opátske
Pšeničná,Vyšné Opátske
Púchovská,Západ
Púpavová,Vyšné Opátske
Puškinova,Staré Mesto
Pytliacka,Lorinčík
Račí potok,Sever
Račianska,Krásna
Račkov park,Staré Mesto
Radlinského,Barca
Raketová,Nad jazerom
Rampová,Džungľa
Rampová,Sever
Ranná,Šaca
Rastislavova,Juh
Rázusova,Juh
Ražná,Vyšné Opátske
Rehoľná,Krásna
Repíková,Šebastovce
Repná,Ťahanovce
Rešov majer,Krásna
Revúcka,Pereš
Rímska,Juh
Riznerova,Juh
Robotnícka,Západ
Rokycká,Kavečany
Roľnícka,Vyšné Opátske
Rooseveltova,Staré Mesto
Rosná,Juh
Rovníková,Nad jazerom
Rozálska,Sever
Rozmarínová,Šebastovce
Rozvojová,Juh
Rožňavská,Západ
Rubínová,Západ
Rulandská,Krásna
Rumanova,Staré Mesto
Rumunská,Juh
Rusnákova,Barca
Ružínska,Západ
Ružomberská,Západ
Ružová,Západ
Rybárska,Krásna
Sabinovská,Lorinčík
Sabinovská,Pereš
Sadovnícka,Poľov
Sečovská cesta,Dargovských hrdinov
Sečovská cesta,Košická Nová Ves
Senný trh,Staré Mesto
Severné nábrežie,Džungľa
Skalná,Juh
Skautská,Sever
Skladná,Juh
Sklepárska,Poľov
Sládkovičova,Sever
Slanecká,Nad jazerom
Slávičia,Vyšné Opátske
Slavkovská,Sever
Sliačska,Západ
Slivník,Dargovských hrdinov
Slnečná,Juh
Slnečnicová ulica,Lorinčík
Slovenská,Sever
Slovenského,Sever
Slovenskej jednoty,Sever
Sluková,Lorinčík
Smaragdová,Západ
Smetanova,Juh
Smreková,Šaca
Smutná,Krásna
Snežienková,Vyšné Opátske
Sofijská,Sídlisko Ťahanovce
Sokolovská,Západ
Solisková,Sever
Spišské námestie,Nad jazerom
Sputniková,Nad jazerom
Srbská,Juh
Srnčia,Vyšné Opátske
Stálicová,Nad jazerom
Staničná,Juh
Staničné námestie,Staré Mesto
Stará baštová,Staré Mesto
Stará pracháreň,Juh
Stará prešovská,Staré Mesto
Stará spišská cesta,Sever
Staroslovanská,Krásna
Starozagorská,Sídlisko KVP
Stierova,Sídlisko KVP
Stodolova,Západ
Stokrásková,Západ
Strakova,Sever
Strážna,Kavečany
Strieborná,Barca
Strmá,Kavečany
Strojárenská,Staré Mesto
Stromová,Staré Mesto
Stropkovská,Západ
Studničná ulica,Lorinčík
Suchodolinská,Sever
Sv. rodiny,Dargovských hrdinov
Svätoplukova,Staré Mesto
Svetlá,Barca
Svetlá pusta,Barca
Svidnícka,Pereš
Szabadosova ulica,Sídlisko KVP
Szakkayho,Sever
Šafárikova trieda,Západ
Šafranová,Vyšné Opátske
Šalviová,Šebastovce
Šamborská,Kavečany
Šarišská,Vyšné Opátske
Šebastovská,Šebastovce
Šemšianska,Šaca
Šimekova ulica,Barca
Šípková,Vyšné Opátske
Široká,Kavečany
Školská,Juh
Škovránčia,Vyšné Opátske
Škultétyho,Staré Mesto
Šoltésovej,Juh
Športová,Sever
Šrobárova,Staré Mesto
Štefánikova,Staré Mesto
Štiavnická,Západ
Štítová,Staré Mesto
Štrbská,Sever
Štrková,Krásna
Študentská,Sever
Štúrova,Staré Mesto
Štúrova,Juh
Šuhajova,Krásna
Táborská,Juh
Ťahanovská,Ťahanovce
Ťahanovské riadky,Sever
Tajovského,Staré Mesto
Talinská,Nad jazerom
Tatarkova,Krásna
Tatranská,Staré Mesto
Teplárenská,Juh
Teplého,Barca
Terchovská,Sever
Teslova,Juh
Tešedíkova,Barca
Textilná,Nad jazerom
Thurzova,Staré Mesto
Tibavská,Krásna
